Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?node=qview&SERIES_KEY=132.STS.M.I8.S.UNEH.RTT000.4.000&start=&end=&submitOptions.x=0&submitOptions.y=0&trans=QF&q=&type=
,STS.M.I8.S.UNEH.RTT000.4.000,Quarterly Frequency
2013Jun,12.070000,12.076667
2013May,12.080000,
2013Apr,12.080000,
2013Mar,12.050000,12.036667
2013Feb,12.050000,
2013Jan,12.010000,
2012Dec,11.890000,11.816667
2012Nov,11.820000,
2012Oct,11.740000,
2012Sep,11.610000,11.523333
2012Aug,11.510000,
2012Jul,11.450000,
2012Jun,11.390000,11.296667
2012May,11.290000,
2012Apr,11.210000,
2012Mar,11.070000,10.923333
2012Feb,10.920000,
2012Jan,10.780000,
2011Dec,10.720000,10.600000
2011Nov,10.610000,
2011Oct,10.470000,
2011Sep,10.380000,10.256667
2011Aug,10.240000,
2011Jul,10.150000,
2011Jun,10.040000,10.000000
2011May,10.000000,
2011Apr,9.960000,
2011Mar,10.010000,10.040000
2011Feb,10.030000,
2011Jan,10.080000,
2010Dec,10.120000,10.150000
2010Nov,10.130000,
2010Oct,10.200000,
2010Sep,10.180000,10.186667
2010Aug,10.190000,
2010Jul,10.190000,
2010Jun,10.270000,10.296667
2010May,10.310000,
2010Apr,10.310000,
2010Mar,10.230000,10.200000
2010Feb,10.210000,
2010Jan,10.160000,
2009Dec,10.140000,10.093333
2009Nov,10.090000,
2009Oct,10.050000,
2009Sep,10.000000,9.890000
2009Aug,9.870000,
2009Jul,9.800000,
2009Jun,9.680000,9.580000
2009May,9.580000,
2009Apr,9.480000,
2009Mar,9.320000,9.020000
2009Feb,9.020000,
2009Jan,8.720000,
2008Dec,8.310000,8.060000
2008Nov,8.050000,
2008Oct,7.820000,
2008Sep,7.650000,7.570000
2008Aug,7.580000,
2008Jul,7.480000,
2008Jun,7.470000,7.406667
2008May,7.380000,
2008Apr,7.370000,
2008Mar,7.280000,7.306667
2008Feb,7.310000,
2008Jan,7.330000,
2007Dec,7.330000,7.326667
2007Nov,7.310000,
2007Oct,7.340000,
2007Sep,7.400000,7.456667
2007Aug,7.460000,
2007Jul,7.510000,
2007Jun,7.460000,7.523333
2007May,7.540000,
2007Apr,7.570000,
2007Mar,7.670000,7.770000
2007Feb,7.770000,
2007Jan,7.870000,
2006Dec,7.930000,8.030000
2006Nov,8.050000,
2006Oct,8.110000,
2006Sep,8.170000,8.233333
2006Aug,8.240000,
2006Jul,8.290000,
2006Jun,8.360000,8.476667
2006May,8.490000,
2006Apr,8.580000,
2006Mar,8.680000,8.746667
2006Feb,8.760000,
2006Jan,8.800000,
2005Dec,8.890000,8.953333
2005Nov,8.950000,
2005Oct,9.020000,
2005Sep,9.030000,9.046667
2005Aug,9.030000,
2005Jul,9.080000,
2005Jun,9.170000,9.200000
2005May,9.180000,
2005Apr,9.250000,
2005Mar,9.160000,9.163333
2005Feb,9.170000,
2005Jan,9.160000,
2004Dec,9.210000,9.243333
2004Nov,9.270000,
2004Oct,9.250000,
2004Sep,9.260000,9.233333
2004Aug,9.230000,
2004Jul,9.210000,
2004Jun,9.230000,9.250000
2004May,9.260000,
2004Apr,9.260000,
2004Mar,9.290000,9.250000
2004Feb,9.250000,
2004Jan,9.210000,
2003Dec,9.140000,9.100000
2003Nov,9.080000,
2003Oct,9.080000,
2003Sep,9.080000,9.076667
2003Aug,9.070000,
2003Jul,9.080000,
2003Jun,9.090000,9.046667
2003May,9.040000,
2003Apr,9.010000,
2003Mar,9.030000,9.000000
2003Feb,8.990000,
2003Jan,8.980000,
2002Dec,8.930000,8.863333
2002Nov,8.860000,
2002Oct,8.800000,
2002Sep,8.770000,8.723333
2002Aug,8.720000,
2002Jul,8.680000,
2002Jun,8.610000,8.566667
2002May,8.560000,
2002Apr,8.530000,
2002Mar,8.480000,8.476667
2002Feb,8.500000,
2002Jan,8.450000,
2001Dec,8.470000,8.453333
2001Nov,8.460000,
2001Oct,8.430000,
2001Sep,8.390000,8.373333
2001Aug,8.370000,
2001Jul,8.360000,
2001Jun,8.360000,8.366667
2001May,8.380000,
2001Apr,8.360000,
2001Mar,8.390000,8.423333
2001Feb,8.420000,
2001Jan,8.460000,
2000Dec,8.570000,8.643333
2000Nov,8.650000,
2000Oct,8.710000,
2000Sep,8.830000,8.883333
2000Aug,8.880000,
2000Jul,8.940000,
2000Jun,8.990000,9.036667
2000May,9.030000,
2000Apr,9.090000,
2000Mar,9.180000,9.276667
2000Feb,9.280000,
2000Jan,9.370000,
1999Dec,9.470000,9.533333
1999Nov,9.540000,
1999Oct,9.590000,
1999Sep,9.660000,9.713333
1999Aug,9.720000,
1999Jul,9.760000,
1999Jun,9.830000,9.873333
1999May,9.870000,
1999Apr,9.920000,
1999Mar,9.930000,9.996667
1999Feb,9.990000,
1999Jan,10.070000,
1998Dec,10.200000,10.263333
1998Nov,10.270000,
1998Oct,10.320000,
1998Sep,10.350000,10.410000
1998Aug,10.410000,
1998Jul,10.470000,
1998Jun,10.550000,10.576667
1998May,10.570000,
1998Apr,10.610000,
